=== BAGIAN 1: PARAMETER KAPASITAS BATERAI ===
Parameter,Nilai,Satuan
Kapasitas Nominal (Q_Ah),20.7986,Ah
Kapasitas Nominal (Q_As),74874.8000,Ampere-sekon


=== BAGIAN 2: TABEL TRUE OCV (LOOK-UP TABLE) ===
SOC,OCV (V)
0.0,2.655
0.09884901195061613,3.194
0.21243195307366414,3.223
0.3260015385683833,3.253
0.43951102373562256,3.282
0.553234198956124,3.288
0.6670174745041055,3.289
0.780667193768798,3.297
0.8943770133609705,3.326
1.0,3.537


=== BAGIAN 3: PARAMETER DINAMIS ECM (R0, R1, C1) ===
SOC (%),R0 (Ohm),R1 (Ohm),C1 (Farad),Tau (s)
0.0,0.006050000000000022,0.009500011664387999,11281.154902919523,71.78382562406746
9.090241309492642,0.0028000000000000026,0.002506330367563646,20591.86262038584,51.61001061017174
20.461891050126326,0.0028000000000000026,0.0022075950826103783,24841.488076080066,54.8399469214787
31.80549397126936,0.0028999999999999916,0.0022122996101794517,15061.404777460237,33.32033991793021
43.16979811632217,0.0027000000000000136,0.0023722017001248626,20897.75015768967,49.57367845285604
54.542115638372316,0.002400000000000002,0.002436165990177112,19607.70809129927,47.76763159734386
65.90708756484158,0.0028999999999999916,0.002374325507080654,15177.978102348945,36.03746055431872
77.27873730547526,0.0021999999999999797,0.0023458492918533797,16580.74023587785,38.89591774073889
88.64304145052809,0.0028000000000000026,0.0026842660966356876,24189.0892443132,64.92995216700488


=== BAGIAN 4: HISTORI VALIDASI EKF VS COULOMB COUNTING ===
Catatan: Data di bawah ini adalah rekaman deret waktu (time-series) dari pengujian Urban Load.
Time (s),Current (A),Voltage (V),V_EKF_Pred,SOC_CC (%),SOC_EKF (%)
1846,0.0,3.296,3.295291173904029,78.54714538065761,74.90880946412352
1847,0.0,3.296,3.295288348320415,78.54714538065761,74.90935678504157
1848,0.0,3.2965,3.295285647049603,78.54714538065761,74.91029136371795
1849,0.0,3.297,3.2952904229004267,78.54714538065761,74.91160803111462
1850,0.0,3.297,3.2953023802340264,78.54714538065761,74.91291650092046
1851,0.0,3.297,3.2953138774976924,78.54714538065761,74.91421710978635
1852,0.0,3.297,3.2953249331725227,78.54714538065761,74.91551018110644
1853,0.0,3.297,3.2953355649970697,78.54714538065761,74.91679602553397
1854,0.0,3.297,3.2953457899972056,78.54714538065761,74.91807494147746
1855,0.0,3.297,3.2953556245147793,78.54714538065761,74.91934721557757
1856,0.0,3.297,3.295365084235124,78.54714538065761,74.92061312316581
1857,0.0,3.297,3.2953741842134505,78.54714538065761,74.92187292870534
1858,0.0,3.297,3.295382938900182,78.54714538065761,74.92312688621493
1859,0.0,3.297,3.295391362165268,78.54714538065761,74.92437523967644
1860,0.0,3.297,3.295399467321519,78.54714538065761,74.92561822342655
1861,0.0,3.297,3.2954072671469987,78.54714538065761,74.92685606253343
1862,0.0,3.297,3.2954147739065203,78.54714538065761,74.92808897315867
1863,0.0,3.297,3.295421999372273,78.54714538065761,74.9293171629053
1864,0.0,3.297,3.2954289548436213,78.54714538065761,74.93054083115233
1865,0.0,3.297,3.295435651166107,78.54714538065761,74.93176016937619
1866,0.0,3.297,3.295442098749684,78.54714538065761,74.93297536145987
1867,0.0,3.297,3.295448307586223,78.54714538065761,74.93418658398987
1868,0.0,3.297,3.295454287266311,78.54714538065761,74.93539400654178
1869,0.0,3.297,3.2954600469953754,78.54714538065761,74.93659779195465
1870,0.0,3.297,3.2954655956091585,78.54714538065761,74.93779809659468
1871,0.0,3.297,3.295470941588568,78.54714538065761,74.93899507060875
1872,0.0,3.297,3.295476093073937,78.54714538065761,74.940188858168
1873,0.0,3.297,3.295481057878702,78.54714538065761,74.94137959770194
1874,0.0,3.297,3.295485843502539,78.54714538065761,74.94256742212343
1875,0.0,3.297,3.2954904571439645,78.54714538065761,74.94375245904492
1876,0.0,3.297,3.295494905712434,78.54714538065761,74.94493483098623
1877,0.0,3.297,3.295499195839954,78.54714538065761,74.94611465557425
1878,0.0,3.297,3.295503333892226,78.54714538065761,74.94729204573483
1879,0.0,3.297,3.2955073259793424,78.54714538065761,74.94846710987717
1880,0.0,3.297,3.2955111779660533,78.54714538065761,74.94963995207107
1881,0.0,3.297,3.295514895481622,78.54714538065761,74.95081067221714
1882,0.0,3.297,3.295518483929281,78.54714538065761,74.9519793662105
1883,0.0,3.297,3.2955219484953098,78.54714538065761,74.95314612609798
1884,0.0,3.297,3.295525294157751,78.54714538065761,74.95431104022923
1885,0.0,3.297,3.2955285256947686,78.54714538065761,74.9554741934019
1886,0.0,3.297,3.2955316476926795,78.54714538065761,74.95663566700114
1887,0.0,3.297,3.295534664553653,78.54714538065761,74.95779553913364
1888,0.0,3.297,3.2955375805031117,78.54714538065761,74.95895388475647
1889,0.0,3.297,3.2955403995968244,78.54714538065761,74.9601107758008
1890,0.0,3.297,3.2955431257277192,78.54714538065761,74.96126628129083
1891,0.0,3.297,3.2955457626324254,78.54714538065761,74.96242046745809
1892,0.0,3.297,3.2955483138975454,78.54714538065761,74.96357339785116
1893,0.0,3.297,3.2955507829656834,78.54714538065761,74.9647251334412
1894,0.0,3.297,3.2955531731412235,78.54714538065761,74.96587573272338
1895,0.0,3.297,3.295555487595882,78.54714538065761,74.96702525181405
1896,0.0,3.297,3.2955577293740324,78.54714538065761,74.96817374454457
1897,0.0,3.297,3.2955599013978194,78.54714538065761,74.96932126255103
1898,0.0,3.297,3.295562006472068,78.54714538065761,74.9704678553607
1899,0.0,3.297,3.2955640472889898,78.54714538065761,74.971613570475
1900,0.0,3.297,3.2955660264327076,78.54714538065761,74.97275845344925
1901,0.0,3.297,3.2955679463835947,78.54714538065761,74.97390254796925
1902,0.0,3.297,3.295569809522439,78.54714538065761,74.97504589592498
1903,0.0,3.297,3.295571618134441,78.54714538065761,74.97618853748116
1904,0.0,3.297,3.2955733744130526,78.54714538065761,74.97733051114534
1905,0.0,3.297,3.29557508046366,78.54714538065761,74.97847185383313
1906,0.0,3.297,3.2955767383071186,78.54714538065761,74.97961260093085
1907,0.0,3.297,3.295578349883147,78.54714538065761,74.9807527863559
1908,0.0,3.297,3.2955799170535824,78.54714538065761,74.98189244261452
1909,0.0,3.297,3.2955814416055116,78.54714538065761,74.98303160085761
1910,0.0,3.297,3.2955829252542657,78.54714538065761,74.9841702909339
1911,0.0,3.297,3.295584369646305,78.54714538065761,74.98530854144151
1912,0.0,3.297,3.2955857763619827,78.54714538065761,74.98644637977715
1913,0.0,3.297,3.2955871469181965,78.54714538065761,74.98758383218355
1914,0.0,3.297,3.295588482770939,78.54714538065761,74.98872092379494
1915,0.0,3.297,3.2955897853177394,78.54714538065761,74.9898576786809
1916,0.0,3.297,3.295591055900013,78.54714538065761,74.99099411988821
1917,0.0,3.297,3.2955922958053105,78.54714538065761,74.99213026948135
1918,0.0,3.297,3.2955935062694826,78.54714538065761,74.99326614858123
1919,0.0,3.297,3.2955946884787553,78.54714538065761,74.99440177740244
1920,0.0,3.297,3.295595843571719,78.54714538065761,74.99553717528907
1921,0.0,3.297,3.295596972641244,78.54714538065761,74.9966723607491
1922,0.0,3.297,3.2955980767363124,78.54714538065761,74.99780735148738
1923,0.0,3.297,3.2955991568637826,78.54714538065761,74.99894216443745
1924,0.0,3.297,3.295600213990076,78.54714538065761,75.00007681579199
1925,0.0,3.297,3.295601249042806,78.54714538065761,75.00121132103207
1926,0.0,3.297,3.29560226291233,78.54714538065761,75.00234569495538
1927,0.0,3.297,3.2956032564532456,78.54714538065761,75.00347995170323
1928,0.0,3.297,3.295604230485829,78.54714538065761,75.00461410478644
1929,0.0,3.297,3.2956051857974105,78.54714538065761,75.00574816711043
1930,0.0,3.297,3.295606123143695,78.54714538065761,75.00688215099909
1931,15.0,3.26,3.2595684108322303,78.52711193816427,74.987199184281
1932,15.0,3.258,3.2586378303295316,78.50707849567094,74.9666487640887
1933,15.0,3.256,3.2577137173927957,78.4870450531776,74.94522902999216
1934,15.0,3.2545,3.2567957727774317,78.46701161068425,74.92334221640513
1935,15.0,3.253,3.255891442913399,78.44697816819092,74.90097930537729
1936,15.0,3.2525,3.2550001524229666,78.42694472569758,74.87893581099996
1937,15.0,3.252,3.2541368112366174,78.40691128320424,74.85718786816297
1938,15.0,3.25,3.253300286885064,78.3868778407109,74.83451150705184
1939,15.0,3.248,3.2524663050891776,78.36684439821757,74.81090858750696
1940,15.0,3.2465,3.2516347272244364,78.34681095572422,74.7867800762979
1941,15.0,3.245,3.2508131481713454,78.32677751323088,74.7621203959041
1942,15.0,3.245,3.2500011398049127,78.30674407073755,74.73811556023733
1943,15.0,3.245,3.249221466503398,78.28671062824421,74.71473675354713
1944,15.0,3.245,3.2484728279492328,78.26667718575086,74.69195658160052
1945,15.0,3.245,3.247753975863187,78.24664374325752,74.66974898984458
1946,15.0,3.2435,3.2470637119511148,78.2266103007642,74.64690707436846
1947,15.0,3.242,3.2463777227108115,78.20657685827085,74.62342990207085
1948,15.0,3.241,3.2456958101579865,78.1865434157775,74.59970940850602
1949,15.0,3.24,3.245025503875364,78.16650997328416,74.5757374531103
1950,15.0,3.239,3.244366319974716,78.14647653079084,74.5515063359838
1951,15.0,3.238,3.243717794174648,78.12644308829749,74.52700878137063
1952,15.0,3.238,3.243079481017977,78.10640964580415,74.50301716883531
1953,15.0,3.238,3.242466383513819,78.08637620331082,74.47950967159989
1954,15.0,3.2375,3.241877486473014,78.06634276081748,74.45607726860426
1955,15.0,3.237,3.2413041021330242,78.04630931832413,74.43270759528293
1956,15.0,3.2365000000000004,3.240745597587347,78.02627587583079,74.40938885258979
1957,15.0,3.236,3.240201365381598,78.00624243333746,74.38610978112858
1958,15.0,3.2355,3.2396708224968362,77.98620899084412,74.36285963668846
1959,15.0,3.235,3.2391534093731202,77.96617554835078,74.3396281670919
1960,15.0,3.2344999999999997,3.23864858897176,77.94614210585745,74.31640559026984
1961,15.0,3.234,3.2381558458747657,77.9261086633641,74.293182573485
1962,15.0,3.2335000000000003,3.2376746854200666,77.90607522087076,74.26995021363064
1963,15.0,3.233,3.2372046328711006,77.88604177837742,74.2467000185372
1964,15.0,3.2325,3.2367452326194392,77.86600833588409,74.2234238892245
1965,15.0,3.232,3.236296047419168,77.84597489339075,74.20011410304147
1966,15.0,3.2315,3.235856657651758,77.8259414508974,74.17676329764008
1967,15.0,3.231,3.235426660620254,77.80590800840407,74.15336445573357
1968,15.0,3.231,3.235005669871609,77.78587456591073,74.1302904260164
1969,15.0,3.231,3.234601015589091,77.76584112341739,74.10752768069962
1970,15.0,3.231,3.234212039108476,77.74580768092405,74.08506330367847
1971,15.0,3.231,3.2338381082575767,77.72577423843072,74.06288495999812
1972,15.0,3.2305,3.2334786162967712,77.70574079593737,74.0406035092674
1973,15.0,3.23,3.2331252830140156,77.68570735344403,74.01821461739637
1974,15.0,3.23,3.232777852187691,77.66567391095069,73.9960904812118
1975,15.0,3.23,3.2324437743309664,77.64564046845736,73.97422026043927
1976,15.0,3.23,3.2321225108095786,77.62560702596402,73.95259359527118
1977,15.0,3.23,3.231813544674485,77.60557358347067,73.9312005831975
1978,15.0,3.23,3.2315163797927178,77.58554014097734,73.91003175710681
1979,15.0,3.23,3.2312305400126964,77.565506698484,73.88907806457641
1980,15.0,3.2295,3.2309555683626696,77.54547325599066,73.8679573669873
1981,15.0,3.229,3.2306833341274177,77.52543981349731,73.84666804397727
1982,15.0,3.2285000000000004,3.2304137190335194,77.50540637100399,73.82520858123344
1983,15.0,3.228,3.2301466096322557,77.48537292851064,73.80357756671049
1984,15.0,3.2275,3.2298818971066034,77.4653394860173,73.78177368699085
1985,15.0,3.227,3.2296194770859277,77.44530604352397,73.75979572378108
1986,15.0,3.227,3.2293592494680663,77.42527260103063,73.7380132301133
1987,15.0,3.227,3.229108806288618,77.40523915853728,73.71641840816196
1988,15.0,3.2264999999999997,3.2288677525907055,77.38520571604394,73.6946340590617
1989,15.0,3.226,3.2286280226650517,77.36517227355061,73.672659732825
1990,15.0,3.226,3.2283895556157898,77.34513883105727,73.65086382646305
1991,15.0,3.226,3.2281599783525508,77.32510538856393,73.62923928799913
1992,15.0,3.2255000000000003,3.2279389319590783,77.3050719460706,73.60741152021698
1993,15.0,3.225,3.227718388067396,77.28503850357725,73.5853807230913
1994,15.0,3.225,3.2274983190647624,77.26500506108391,73.5635140306779
1995,15.0,3.225,3.227286381058534,77.24497161859057,73.54180501774498
1996,15.0,3.225,3.227082245707,77.22493817609724,73.52024753636955
1997,15.0,3.225,3.226885597911232,77.2049047336039,73.49883570325504
1998,15.0,3.225,3.2266961352829724,77.18487129111055,73.4775638876854
1999,15.0,3.225,3.226513567633729,77.16483784861722,73.45642670007922
2000,15.0,3.225,3.226337616484248,77.14480440612388,73.43541898110945
2001,15.0,3.225,3.2261680145935645,77.12477096363054,73.41453579135744
2002,15.0,3.2245,3.2260045055068765,77.1047375211372,73.39340906479029
2003,15.0,3.224,3.2258391658443473,77.08470407864387,73.37204074349694
2004,15.0,3.224,3.2256720624347834,77.06467063615052,73.35079519840947
2005,15.0,3.224,3.2255109354533293,77.04463719365718,73.32966778501361
2006,15.0,3.224,3.225355543471816,77.02460375116385,73.30865405630747
2007,15.0,3.224,3.2252056548097316,77.00457030867051,73.28774975400441
2008,15.0,3.224,3.225061047141859,76.98453686617717,73.26695080015726
2009,15.0,3.224,3.2249215071216106,76.96450342368382,73.24625328918137
2010,15.0,3.224,3.2247868300194438,76.9444699811905,73.22565348025496
2011,15.0,3.224,3.224656819375755,76.92443653869715,73.20514779007729
2012,15.0,3.224,3.2245312866676894,76.90440309620381,73.1847327859654
2013,15.0,3.224,3.2244100509893094,76.88436965371046,73.16440517927231
2014,15.0,3.224,3.224292938744591,76.86433621121714,73.14416181910993
2015,15.0,3.224,3.224179783352745,76.8443027687238,73.12399968636095
2016,15.0,3.224,3.2240704249653653,76.82426932623045,73.10391588796543
2017,15.0,3.224,3.223964710194942,76.80423588373712,73.083907651468
2018,15.0,3.224,3.223862491854276,76.78420244124378,73.06397231981265
2019,15.0,3.224,3.223763628706373,76.76416899875043,73.04410734637308
2020,15.0,3.224,3.223667985224389,76.74413555625709,73.02431029020681
2021,15.0,3.224,3.223575431361229,76.72410211376376,73.00457881152205
2022,15.0,3.2235,3.2234858423284125,76.70406867127042,72.98455542775956
2023,15.0,3.223,3.2233914333670026,76.68403522877708,72.96424418483257
2024,15.0,3.223,3.2232923926767096,76.66400178628375,72.9440034681903
2025,15.0,3.223,3.2231965647260363,76.6439683437904,72.92383084116337
2026,15.0,3.223,3.223103819717027,76.62393490129706,72.90372396843122
2027,15.0,3.223,3.2230140331014776,76.60390145880372,72.88368061165654
2028,15.0,3.223,3.2229270853690952,76.58386801631039,72.86369862531544
2029,15.0,3.223,3.222842861844167,76.56383457381705,72.8437759527143
2030,15.0,3.223,3.2227612524904026,76.5438011313237,72.82391062218404
2031,15.0,3.223,3.222682151723625,76.52376768883038,72.80410074344358
2032,15.0,3.223,3.222605458231995,76.50373424633703,72.78434450412422
2033,15.0,3.223,3.2225310748034723,76.48370080384369,72.7646401664474
2034,15.0,3.223,3.222458908160219,76.46366736135035,72.74498606404882
2035,15.0,3.223,3.222388868799669,76.44363391885702,72.72538059894165
2036,15.0,3.223,3.2223208708420032,76.42360047636367,72.70582223861297
2037,15.0,3.223,3.2222548318837627,76.40356703387033,72.68630951324656
2038,15.0,3.223,3.2221906728573626,76.38353359137699,72.66684101306689
2039,15.0,3.223,3.2221283178962703,76.36350014888366,72.6474153857983
2040,15.0,3.223,3.22206769420561,76.34346670639032,72.62803133423428
2041,15.0,3.223,3.222008731937995,76.32343326389697,72.60868761391185
2042,15.0,3.223,3.221951364074354,76.30339982140364,72.5893830308863
2043,15.0,3.223,3.221895526309576,76.2833663789103,72.57011643960158
2044,15.0,3.223,3.2218411569427587,76.26333293641696,72.55088674085243
2045,15.0,3.223,3.2217881967718887,76.24329949392362,72.53169287983377
2046,15.0,3.223,3.22173658899277,76.22326605143029,72.51253384427349
2047,15.0,3.223,3.2216862791020313,76.20323260893694,72.49340866264538
2048,15.0,3.223,3.22163721480405,76.1831991664436,72.4743164024579
2049,15.0,3.223,3.221589345921627,76.16316572395027,72.45525616861627
2050,15.0,3.223,3.2215426243102754,76.14313228145693,72.43622710185392
2051,15.0,3.223,3.2214970037759643,76.12309883896359,72.41722837723077
2052,15.0,3.223,3.221452439996186,76.10306539647024,72.3982592026952
2053,15.0,3.223,3.221408890444211,76.08303195397691,72.37931881770689
2054,15.0,3.2225,3.221366314316401,76.06299851148357,72.36006336694739
2055,15.0,3.222,3.2213170263648654,76.04296506899023,72.34049809295169
2056,15.0,3.222,3.2212612923732973,76.0229316264969,72.32097043308933
2057,15.0,3.222,3.221207012290788,76.00289818400356,72.30147930609743
2058,15.0,3.222,3.221154127450362,75.98286474151021,72.28202367456639
2059,15.0,3.222,3.2211025815632595,75.96283129901687,72.2626025430794
2060,15.0,3.222,3.2210523206226815,75.94279785652354,72.24321495643275
2061,15.0,3.222,3.2210032928114227,75.9227644140302,72.22385999793292
2062,15.0,3.222,3.2209554484132226,75.90273097153685,72.2045367877671
2063,15.0,3.222,3.220908739727698,75.88269752904353,72.1852444814439
2064,15.0,3.222,3.220863120988712,75.86266408655018,72.16598226830106
2065,15.0,3.222,3.220818548286032,75.84263064405684,72.1467493700773
2066,15.0,3.222,3.220774979490161,75.8225972015635,72.12754503954521
2067,15.0,3.222,3.2207323741801934,75.80256375907017,72.10836855920275
2068,15.0,3.2215,3.2206906935745967,75.78253031657682,72.08888160961803
2069,15.0,3.221,3.220642263096303,75.76249687408348,72.06908944238769
