=== BAGIAN 1: PARAMETER KAPASITAS BATERAI ===
Parameter,Nilai,Satuan
Kapasitas Nominal (Q_Ah),20.7986,Ah
Kapasitas Nominal (Q_As),74874.8000,Ampere-sekon


=== BAGIAN 2: TABEL TRUE OCV (LOOK-UP TABLE) ===
SOC,OCV (V)
0.0,2.655
0.09884901195061613,3.194
0.21243195307366414,3.223
0.3260015385683833,3.253
0.43951102373562256,3.282
0.553234198956124,3.288
0.6670174745041055,3.289
0.780667193768798,3.297
0.8943770133609705,3.326
1.0,3.537


=== BAGIAN 3: PARAMETER DINAMIS ECM (R0, R1, C1) ===
SOC (%),R0 (Ohm),R1 (Ohm),C1 (Farad),Tau (s)
0.0,0.006050000000000022,0.009500011664387999,11281.154902919523,71.78382562406746
9.090241309492642,0.0028000000000000026,0.002506330367563646,20591.86262038584,51.61001061017174
20.461891050126326,0.0028000000000000026,0.0022075950826103783,24841.488076080066,54.8399469214787
31.80549397126936,0.0028999999999999916,0.0022122996101794517,15061.404777460237,33.32033991793021
43.16979811632217,0.0027000000000000136,0.0023722017001248626,20897.75015768967,49.57367845285604
54.542115638372316,0.002400000000000002,0.002436165990177112,19607.70809129927,47.76763159734386
65.90708756484158,0.0028999999999999916,0.002374325507080654,15177.978102348945,36.03746055431872
77.27873730547526,0.0021999999999999797,0.0023458492918533797,16580.74023587785,38.89591774073889
88.64304145052809,0.0028000000000000026,0.0026842660966356876,24189.0892443132,64.92995216700488


=== BAGIAN 4: HISTORI VALIDASI EKF VS COULOMB COUNTING ===
Catatan: Data di bawah ini adalah rekaman deret waktu (time-series) dari pengujian Urban Load.
Time (s),Current (A),Voltage (V),V_EKF_Pred,Err_V (mV),SOC_CC (%),SOC_EKF (%)
3541,10.0,3.231,3.2312817692894473,0.2817692894474533,63.13475028911545,57.605274793530405
3542,10.0,3.231,3.2312818268660997,0.281826866099788,63.12139466078656,57.59077307485231
3543,10.0,3.231,3.2312818843843467,0.28188438434684215,63.10803903245766,57.57627591755081
3544,10.0,3.231,3.231281941844273,0.2819418442729926,63.09468340412877,57.561783324490094
3545,10.0,3.231,3.2312819992459625,0.2819992459626164,63.08132777579988,57.54729529853208
3546,10.0,3.231,3.2312820565894977,0.28205658949786994,63.06797214747098,57.532811842536425
3547,10.0,3.231,3.2312821138749634,0.2821138749635743,63.054616519142094,57.51833295936051
3548,10.0,3.231,3.231282171102444,0.2821711024441065,63.0412608908132,57.503858651859396
3549,10.0,3.231,3.2312822282720215,0.28222827202162293,63.02790526248431,57.489388922885865
3550,10.0,3.231,3.23128228538378,0.2822853837800565,63.014549634155415,57.474923775290364
3551,10.0,3.231,3.231282342437802,0.28234243780200785,63.00119400582652,57.46046321192099
3552,10.0,3.231,3.231282399434172,0.28239943417229796,62.98783837749763,57.4460072356235
3553,10.0,3.231,3.231282456372972,0.28245637297219517,62.974482749168736,57.43155584924128
3554,10.0,3.231,3.231282513254284,0.2825132542843001,62.96112712083984,57.41710905561534
3555,10.0,3.231,3.2312825700781937,0.2825700781938778,62.94777149251095,57.402666857584315
3556,5.0,3.245,3.244175432754435,0.8245672455649,62.941093678346505,57.399333556038556
3557,0.0,3.259,3.2579906401207963,1.0093598792035863,62.941093678346505,57.403885983081956
3558,0.0,3.2595,3.2592626345062645,0.23736549373554183,62.941093678346505,57.405008178145835
3559,0.0,3.26,3.2600438360780495,0.043836078049697136,62.941093678346505,57.404802235839284
3560,0.0,3.26,3.260639240361419,0.6392403614192688,62.941093678346505,57.40183369106661
3561,0.0,3.26,3.260864588966141,0.8645889661411665,62.941093678346505,57.39791698344994
3562,0.0,3.26,3.260949822993249,0.9498229932494162,62.941093678346505,57.39368676406386
3563,0.0,3.26,3.2609820113105523,0.982011310552533,62.941093678346505,57.38935385223173
3564,0.0,3.26,3.260994120516098,0.9941205160983735,62.941093678346505,57.38498859004763
3565,0.0,3.26,3.260998630399041,0.9986303990410228,62.941093678346505,57.380614750814615
3566,0.0,3.26,3.26100026454503,1.0002645450302161,62.941093678346505,57.37624044604894
3567,0.0,3.26,3.2610008106027206,1.0008106027208363,62.941093678346505,57.371868458208986
3568,0.0,3.263,3.2610009450424533,1.9990549575465977,62.941093678346505,57.38059351267503
3569,0.0,3.266,3.2627993152263075,3.200684773692508,62.941093678346505,57.39599516419791
3570,0.0,3.266,3.2652782820378685,0.7217179621314962,62.941093678346505,57.399762745343565
3571,0.0,3.266,3.2662167647510882,0.21676475108822757,62.941093678346505,57.39868142347285
3572,0.0,3.266,3.266572072754724,0.5720727547240401,62.941093678346505,57.39597070603541
3573,0.0,3.266,3.266706540443916,0.7065404439159373,62.941093678346505,57.39272886828416
3574,0.0,3.2664999999999997,3.266757391789698,0.2573917896984135,62.941093678346505,57.391567384452614
3575,0.0,3.267,3.2670763036820585,0.07630368205857607,62.941093678346505,57.39121985563912
3576,0.0,3.267,3.2674967062657347,0.49670626573483645,62.941093678346505,57.388935409631884
3577,0.0,3.267,3.2676558230473867,0.655823047386761,62.941093678346505,57.38595117327826
3578,0.0,3.267,3.267716016073686,0.7160160736860988,62.941093678346505,57.382723859447516
3579,0.0,3.267,3.2677387575940546,0.7387575940547286,62.941093678346505,57.37941300596708
3580,0.0,3.267,3.2677473218671116,0.7473218671116832,62.941093678346505,57.37607407535871
3581,0.0,3.267,3.2677505199185255,0.750519918525594,62.941093678346505,57.37272644867525
3582,0.0,3.268,3.2677516870032703,0.2483129967294495,62.941093678346505,57.373832931315704
3583,0.0,3.269,3.268351527412724,0.6484725872759611,62.941093678346505,57.3768208654071
3584,0.0,3.271,3.269178000007837,1.821999992162926,62.941093678346505,57.38544419638062
3585,0.0,3.273,3.270689670910328,2.310329089671992,62.941093678346505,57.39695030001095
3586,0.0,3.2735000000000003,3.2724606911141767,1.0393088858235977,62.941093678346505,57.40233720275935
3587,0.0,3.274,3.2734308688074587,0.5691311925413167,62.941093678346505,57.40521619471954
3588,0.0,3.274,3.2740978721406933,0.09787214069323369,62.941093678346505,57.404733638702524
3589,0.0,3.274,3.2743503963407132,0.35039634071321046,62.941093678346505,57.40306257041156
3590,0.0,3.274,3.2744459786618023,0.4459786618022932,62.941093678346505,57.40098081416737
3591,0.0,3.274,3.274482139833039,0.48213983303879715,62.941093678346505,57.39875554655107
3592,0.0,3.274,3.2744958059737153,0.4958059737152354,62.941093678346505,57.39647961707204
3593,0.0,3.274,3.2745009570897308,0.5009570897307469,62.941093678346505,57.394185835264764
3594,0.0,3.274,3.274502885281335,0.5028852813349083,62.941093678346505,57.39188592636623
3595,0.0,3.274,3.274503593681393,0.5035936813930775,62.941093678346505,57.38958410699361
3596,0.0,3.2744999999999997,3.2745038404512186,0.0038404512188172646,62.941093678346505,57.38956655874205
3597,0.0,3.275,3.274803614954095,0.1963850459048011,62.941093678346505,57.390479413049846
3598,0.0,3.275,3.275216783033854,0.2167830338541954,62.941093678346505,57.389457864513496
3599,0.0,3.275,3.275373184378268,0.3731843782679434,62.941093678346505,57.38771466171788
3600,0.0,3.275,3.275432376012659,0.4323760126592191,62.941093678346505,57.3857123204011
